Estimulante y empatogeno,Opioide sintetico,Anestesico disociativo,Alucinogeno,Depresor,Estimulante sintetico,NSP (Nuevas Drogas Sinteticas)
MDMA,Fentanilo,Ketamina,Tusi,GHB,Metanfetaminas,Spice
Extasis ,Actiq   ,K Special,LSD,Liquid X ,Crystal  ,K2 
Molly,Duragesic,Special K,Tripis,G ,Meth,Spice 
Rolls,Sublimaze,Kit Kat,Cartones,Georgia Home Boy,Ice,Black Mamba
X,China White,Keta,Puntos,Extasis liquido,Vidrio,Marihuana sintetica
XTC,Apache,Vitamina K,Papelitos,Agua de fuego,Cristal,Fake Weed
Adam,Goodfella,Super K,Microdots,Gamma,Hielo,Incense
Bombones,Jackpot,Jet,Sunshine,Fantasy,Speed,Bliss
Pastillas de amor,Murder 8,Cat Valium,Windowpane,Juice,Tiza,Joker
Dulces,Tango & Cash,Polvo K,Acido  ,Liquid Ecstasy,Tina,Red X Dawn
Mandy,Fenty,PCP (Fenciclidina),Blotter,Popper,Batu (en México),Scooby Snax
AMT (Alfa-metiltriptamina),Blue Magic ,Polvo de Angel,Lucy,,Shabu (en Asia),Nitaceno
Spirals,Krokodil (Desomorfina),Wet,Troquel,,Flakka ,K9
Alpha,Krokodil,Sherm,NBOMe,,Gravel,K4
IT-290,Droga zombie,Rocket Fuel,25I  ,,Droga zombie,
,Russian Magic,Embalming Fluid,25C,,Sal de baño,
,,,25B,,Cloud Nine,
,,,N-Bomb,,Ivory Wave,
,,,Smiles,,Bloom,
,,,Trips,,White Lightning,
,,,Dots,,Scarface,
,,,Pandora,,Mefedrona ,
,,,2C-B,,Meow Meow ,
,,,Tucibi,,M-CAT,
,,,Venus,,Drone,
,,,Erox,,White Magic,
,,,Nexus,,Bubbles,
,,,Pink Cocaine,,Miau Miau,
,,,DMT (Dimetiltriptamina),,Catnip,
,,,La molecula del espíritu,,Plant Food,
,,,Dimitri,,,
,,,Fantasía,,,
,,,Businessman’s Trip,,,